id,date_time,author,headline,read_count,main
1,2020/12/18,教务处供稿,福大与华为签约共建“智能基座”产教融合协同育人基地,631,新闻中心讯/12月17日上午，福州大学—华为“智能基座”产教融合协同育人基地合作协议签约仪式在旗山校区行政南楼123会议室举行。福州大学校长付贤智、华为技术有限公司副总裁周跃峰出席签约仪式。黄志刚副校长主持签约仪式并和华为技术有限公司政企业务福建省总经理马力代表双方签约。福州大学教务处、学生工作部（处）、科学技术开发部、校团委、数学与计算机科学学院、物理与信息工程学院等相关单位负责人，华为技术有限公司相关部门负责人出席签约仪式并开展交流。付贤智校长首先介绍了福州大学近年来在学科建设、人才培养、校企合作等方面的发展情况和建设成效，付校长在致辞中表示，当前以人工智能、大数据、云计算、量子通信等为代表的新一代信息技术是引领未来的战略性技术。高质量培养信息技术领域的拔尖创新人才，是企业和高校共同的使命。华为公司是全球领先的ICT（信息与通信）基础设施和智能终端提供商。福州大学一贯高度重视信息科学领域的发展，积极对接国家战略和区域经济社会发展需求，致力于新一代信息技术的研究和人才培养。希望双方以共建“智能基座”产教融合协同育人基地为契机，深入推进人才培养合作，构建以信息技术领域关键核心技术为基础的产业与人才生态，为推动行业高质量发展提供高水平的人才供给和智力支撑。同时也希望双方进一步深化交流合作，不断扩大合作的领域和规模，在更高层次上实现互利共赢、共同发展。周跃峰副总裁表示，华为高度重视创新型人才的培育，福州大学长期以来为华为输送了许多优秀的技术人才，双方在基础学科人才培养和产学研合作方面有着广泛的空间，希望通过本次“智能基座”合作，将云计算、智能存储、鲲鹏、昇腾等技术融入当前教学方案中，并结合丰富的实习实践活动，为行业培养更多富有创新精神的人才。数学与计算机科学学院郭文忠院长和物理与信息工程学院张红书记作为学院代表先后发言。他们表示，此次合作协议的签订将为学院的人才培养增加新的动能，学院将充分借助华为公司在人工智能、大数据、云计算等领域的技术优势，结合现有专业人才培养体系，探索产教融合新模式，将鲲鹏、昇腾和华为云技术与现有理论和实践课程进行充分融合，进一步提升学生的创新实践能力。签约仪式现场? 周师炜摄?
2,2020/12/18,宣传部,教育部检查调研组来福州大学检查调研,528,新闻中心讯/12月18日上午，教育部检查调研组一行来福州大学，检查贯彻落实中央重大教育决策部署情况。省教育厅有关负责同志一同参加检查调研。福州大学党委书记张天明、校长付贤智、副书记林生，在行政南楼会见了调研组。张天明书记代表学校对检查调研组一行来校表示欢迎，表示学校将积极配合检查调研组的工作。教育部直属机关党委综合与群工处二级调研员王晓宁简要介绍了此次检查调研目的，希望能够听取学校相关意见建议。随后，检查调研组一行深入教室、学院等开展检查调研工作。党办校办、党委宣传部、教师工作部、马克思主义学院相关负责同志参加上述活动。（蓝苗摄影报道）教育部检查调研组来福州大学检查调研?? 
3,2020/12/18,外国语学院供稿,福大学子在福建省首届研究生英语演讲大赛中获特等奖,371,新闻中心讯/12月13日，由福建省学位委员会办公室主办、福建师范大学承办的福建省首届研究生英语演讲大赛决赛在福州进行，来自福州大学、福建师范大学、华侨大学等8所福建省高校的研究生参加比赛。福州大学获一项特等奖，两项一等奖。福州大学共派出三位选手参赛，他们分别是来自经济与管理学院的廖松和来自外国语学院的陈旭、王子葳，由外国语学院的硕士生导师殷贝博士担任指导与领队。经过激烈角逐，廖松同学斩获比赛特等奖，陈旭和王子葳同学获得一等奖。该项赛事旨在培养我省高校研究生英语语言、思维、跨文化交际素养，提升研究生的国际交流能力。为参加本次大赛，外国语学院积极配合校研究生院、研究生工作部（处），精心组织了校内选拔赛，对18位来自各个院系的选手进行了严格遴选，从中选拔出三位佼佼者参加省赛角逐，并对三位参赛选手进行了赛前的针对性培训、指导，为迎战省赛做好了充足的准备。?
4,2020/12/18,党委组织部供稿,校领导赴宁德蕉城区看望挂职干部,635,新闻中心讯/12月17日，校党委书记张天明、副书记林生在党委组织部负责同志等陪同下，前往福州大学挂钩帮扶村——宁德市蕉城区三都镇象溪村、洋中镇利洋村看望慰问挂职干部并座谈。座谈会上，张天明书记听取了挂职干部驻村工作汇报，对挂职干部表示亲切慰问，对当地政府部门给予挂职干部的关心和支持表示衷心感谢。张天明书记肯定了挂职干部们在三年的时间里把作风思想、技术理念、项目资金带到帮扶村的工作成效，表示学校将继续支持挂职干部开展工作。他强调挂职干部要秉承习近平总书记在福建工作期间开创的一系列重要理念、重要部署、宝贵经验和优良作风，总结工作经验，扎实工作，确保打赢脱贫攻坚战、疫情防控阻击战。省委巡视组正处级巡视专员、省派宁德驻村第一书记领队王业洲、蕉城区委组织部部长姚锡铃等领导参加座谈会，并对福州大学挂职干部工作成效给予充分肯定。座谈会后，张天明书记一行实地察看了象溪村、利洋村村容村貌，并慰问了部分困难户。2017年12月，林雄、王明、李坤皇等三位同志作为第五批省派驻村党员干部到村任职，任职期为三年。根据中央和省委有关要求，为充分发挥第一书记作用，保持工作连续性，第五批第一书记驻村时间延长至2021年上半年。长期以来，校党委高度重视脱贫攻坚工作，先后选派19名优秀党员干部驻村任职，发挥高校的智力优势、科研优势，推进科学扶贫、精准扶贫。与挂职干部座谈交流校领导看望慰问挂职干部校领导慰问部分困难户
5,2020/12/17,宣传部,省委教育工委委员刘健副厅长莅校宣讲党的十九届五中全会精神,518,新闻中心讯/12月16日下午，省委教育工委委员、省教育厅党组成员、副厅长（正厅长级）、“百人宣讲团”成员刘健教授在福州大学宣讲党的十九届五中全会精神，宣讲座谈会在旗山校区举行。机关各部门、各学院的师生代表聆听了宣讲报告，报告会由校党委书记张天明主持。刘健副厅长从深入学习领会习近平总书记关于谋划“十四五”时期我国发展的重要思想，深刻认识我国进入新发展阶段的重大意义、有利条件和机遇挑战，准确把握2035年远景目标和“十四五”时期我国发展的指导方针、主要目标、重点任务，牢牢把握构建新发展格局的战略构想和重要着力点等方面，对党的十九届五中全会精神等方面进行全面深入解读。结合我省发展实际，他提出要坚持党的全面领导，动员各方面力量为实现“十四五”规划和2035年远景目标而团结奋斗；要深化高等教育改革，为全方位推动高质量发展超越和新时代新福建提供人才支撑。校党委书记张天明在总结讲话中表示，近三个小时的报告和座谈会，对与会师生深入理解国家经济社会发展所面临的各种形势、挑战和机遇，深刻理解党的十九届五中全会精神，准确把握“十四五”规划和2035远景目标具有重要的指导意义。他希望同学们满怀信心、鼓足干劲、力争上游，努力学习，为今后走向社会，成为合格的社会主义建设者和接班人打下坚实的基础；希望老师能勤勉工作，不管是在教学、科研还是管理工作岗位上，积极改革实践、守正创新、追求卓越，为推进福州大学建设“双一流”东南强校作出贡献。会后，与会师生纷纷表示听完报告会受益匪浅。生物科学与工程学院的青年教师何小镇表示，作为一名高校教师，我们在做好立徳树人的同时，还应该跟上国家的政策，做好国家急需人才的培养和创新技术的研发，培养国家和社会发展所需的高素质人才。法学院研究生刘龙军同学说道，“作为一名新时代青年，听了这场宣讲，我对我国当下在实现中华民族伟大复兴征程中所处的历史阶段有了更加深刻的理解与认识，也更加坚定了对我国社会主义光明前景的信心。”（蓝苗摄影报道）刘健副厅长在福州大学宣讲党的十九届五中全会精神校党委书记张天明主持会议并讲话与会师生认真听讲宣讲报告与座谈会现场?
6,2020/12/17,数计学院供稿,福大研究生获“中国法研杯”司法人工智能挑战赛两项二等奖,228,新闻中心讯/日前，2020中国‘法研杯’司法人工智能挑战赛（CAIL2020）在北京落幕。福州大学获两项二等奖。由福州大学超级计算团队叶锴、魏冬春与云知声智能科技股份有限公司的丘德来组成的队伍，以总成绩第2名荣获论辩挖掘赛题二等奖。由福州大学超级计算团队鲍亮、陈文章、魏冬春与云之声智能科技股份有限公司的丘德来、曾祥荣组成的队伍，以总成绩第3名荣获阅读理解赛题二等奖。2020中国“法研杯”司法人工智能挑战赛由最高人民法院信息中心和中国中文信息学会共同主办，聚焦在阅读理解、司法摘要、司法考试、论辩挖掘四个真实场景的任务，每个项目设置一等奖一名，二等奖两名，三等奖四名。本次大赛共吸引了1707支队伍报名参赛，既有来自清华大学、上海交通大学、武汉大学、天津大学等顶级学术机构的科研人员，也有来自成都数之联、苏州课得乐等企业的工程师，不同背景的选手在比赛中相互启发、切磋交流，共同推动司法人工智能的创新发展。
7,2020/12/17,宣传部,郑传芳教授应邀到福大作《习近平总书记教育重要论述讲义》辅导报告,431,新闻中心讯/12月16日上午，校党委理论学习中心组（扩大）会暨党委党校第234期学习贯彻党的十九届五中全会精神专题培训班、第235期教工党支部书记培训班报告会在旗山校区举行。在家校领导，全校处级、校聘干部，全体教工党支部书记参加会议。会议由校党委书记张天明主持。党的十八大以来，习近平总书记对教育工作提出了一系列新理念、新思想、新观点，系统回答了一系列方向性、全局性、战略性重大问题，形成了习近平总书记关于教育的重要论述。教育部组织编写了《习近平总书记教育重要论述讲义》一书，由高等教育出版社出版，于今年3月在全国发行。此次会议旨在深入学习《习近平总书记教育重要论述讲义》，深入学习贯彻习近平总书记关于教育工作的重要论述。报告会邀请中央马克思主义理论研究和建设工程首席专家，国务院政府特殊津贴专家郑传芳教授作《习近平总书记教育重要论述讲义》的辅导报告。郑传芳教授从学习习近平教育重要论述的主要文献入手，结合党的十九届五中全会精神，深刻阐述了习近平教育重要论述是党的教育思想的新发展，全面分析了习近平教育重要论述的科学内涵和重大意义，强调要牢牢把握习近平总书记在全国教育大会重要讲话提出的“九个坚持”，发挥教育在全面建设社会主义现代化国家中的重要作用。在场党员干部纷纷表示，报告感染力强，思想深刻，专业水平高，对党员干部深刻理解和领会习近平总书记关于教育工作的重要论述有很好的指导作用。校党委书记张天明在主持讲话中强调，广大党员干部要按照陈宝生部长概括的“政治性、人民性、方向性、系统性、实践性、科学性”等6个方面深入领会习近平总书记关于教育的重要论述的核心要义，重点结合党的十九届五中全会精神，把握新理念、新思想和新战略，不断增强教育自信，遵循教育规律，坚持“五育并举”，积极探索“双一流”建设之路，加快推进学校各项事业高质量发展。（蓝苗摄影报道）郑传芳教授应邀到福大作《习近平总书记教育重要论述讲义》辅导报告校党委书记张天明主持报告会报告会现场
8,2020/12/17,物信学院供稿,中国工程物理研究院孙昌璞院士作客嘉锡讲坛,365,新闻中心讯/为推进国家“双一流”大学建设，培养高水平的创新型人才，12月14日，“开学第一课”系列三——嘉锡讲坛第560期暨物信讲坛第113讲在图书馆明德厅举行。特邀中国工程物理研究院孙昌璞院士作为“开学第一课”的主讲人，为全校师生作“需求导向的科学研究与科学诚信”的主题讲座。本次讲座由福州大学黄志刚副校长主持。孙昌璞院士主要从事量子物理、数学物理及量子信息基础理论研究，迄今为止，已发表学术论文240余篇，其中q-变形玻色子的工作是该领域国际上三个开创性工作之一，获美国ISI“经典引文奖”然后入选美国斯坦福大学图书馆《Papers Most Cited in Mathematical Physics Articles》。本次讲座旨在加强学术道德教育，端正同学们的学术态度，提高创新积极性，让广大师生树立起“只有坚守科学道德底线与学术诚信，才能专心于学术研究”的基本意识。孙院士用生动活泼的语言，鲜活形象的例子，深入浅出地阐述了科学精神的丰富内涵和重要意义，同时还强调科学家不仅要有科学精神，更要有爱国奉献的情怀，为福大师生上了一堂与众不同的思政课。讲座结束后，在场同学纷纷就孙院士报告的内容提出自己的疑问，孙院士耐心地一一解答，并鼓励同学们要不畏艰险，从小事做起，专注每一项具体研究，为同学们今后的科学研究指明了方向。
9,2020/12/17,生工学院供稿,福州大学-江苏极易新材料有限公司“合成科学联合实验室”揭牌成立,653,?新闻中心讯/12月16日下午，福州大学-江苏极易新材料有限公司“合成科学联合实验室”签约及揭牌仪式在福州大学国家大学科技园会议室举行。福州大学王心晨副校长、江苏丰县姚凤腾副县长、江苏极易新材料有限公司赵崇鑫总经理以及学校相关部门、学院的领导出席了此次签约仪式。王心晨副校长对来宾的到来表示热烈的欢迎，对联合实验室的成立表示热烈的祝贺，希望以联合实验室为平台，不断推动高新技术成果的产业化，通过高水平的科技研发项目和优越的试验条件为培养创新型人才提供更为有力的支撑，不断提高人才培养质量。据了解，该合作项目协议到校经费3000万，首期到校经费1000万，联合实验室由生物科学与工程学院院长陈芬儿院士领衔，校企双方共同管理，优势互补，旨在建立长期稳定的产学研合作关系，充分发挥科研和市场应用的各自优势，提高高性能特种化学品（主要是制药和防老化领域的特种化学品领域）的自主创新能力。揭牌仪式?? 周师炜摄揭牌仪式? 周师炜摄
10,2020/12/16,校工会供稿,第二十一届青年教师“最佳一节课”竞赛竞赛成功举办,651,新闻中心讯/12月13日，由教务处、校工会主办的福州大学第二十一届青年教师“最佳一节课”竞赛决赛在旗山校区公共教学楼举行。决赛分理工科、文科两组同时进行，通过学院初赛、督导组随机听课、学生网上测评的层层筛选，全校共有21位青年教师入围决赛。21位参赛教师按抽签顺序依次登场，分别展现了20分钟的精彩“一节课”。竞赛评委根据参赛教师的授课教案、教学组织、教学仪态、板书及多媒体运用等各方面现场表现情况，现场进行实名制打分。现场“模拟课堂”成绩和教案成绩分别以90%、10%计入总成绩。来自各学院的工会主席、分管教学副院长、青年教师代表、全体新进教师共200多名参加观摩。经过激烈角逐，土木学院张鸿儒老师、材料学院吴啸老师获得理工科组一等奖，至诚学院王永菁获得文科组一等奖。赛后，评委组长阮奇教授、刘丹教授从教案设计、教姿教态、教学方法、教学技巧等方面对参赛选手的表现作了深刻精准的点评，并针对教案设计的不足提出了中肯的建议。据悉，福州大学青年教师“最佳一节课”教学竞赛是以爱岗敬业为引导，以加强师德师风建设为核心，提高青年教师队伍素质的一项传统赛事，至今已坚持了21年，培养了一批教学素质优良、教学技艺精湛、教学水平高超的青年教学新秀。学校希望通过教学竞技进一步激发广大高校青年教师更新教育理念和掌握现代教学方法的热情，努力造就一支有理想信念、有道德情操、有扎实学识、有仁爱之心的高素质、专业化教师队伍。
